Timestamp,GSR
1700177474067, 421
1700177475769, 416
1700177477201, 415
1700177478642, 412
1700177480373, 413
1700177481921, 432
1700177483348, 432
1700177485414, 430
1700177486853, 424
1700177488351, 433
1700177490104, 417
1700177491568, 415
1700177493526, 425
1700177495113, 426
1700177496794, 416
1700177498200, 419
1700177499633, 416
1700177501270, 435
1700177502937, 419
1700177504551, 416
1700177506083, 430
1700177507539, 421
1700177510172, 421
1700177511554, 424
1700177512941, 416
1700177514722, 421
1700177516353, 429
1700177518135, 433
1700177519666, 428
1700177521567, 430
1700177523104, 420
1700177524621, 426
1700177526672, 428
1700177528939, 433
1700177530342, 431
1700177531785, 431
1700177533424, 415
1700177534893, 430
1700177536623, 428
1700177538035, 421
1700177539560, 420
1700177541130, 411
1700177542781, 412
1700177545522, 412
1700177547473, 405
1700177549191, 402
1700177551915, 403
1700177553576, 418
1700177555035, 410
1700177557386, 412
1700177558908, 420
1700177560569, 424
1700177561996, 421
1700177563534, 422
1700177565270, 415
1700177566948, 406
1700177568395, 424
1700177569880, 424
1700177571619, 419
1700177573263, 401
1700177574891, 403
1700177576622, 400
1700177578495, 400
1700177580045, 418
1700177581576, 402
1700177583321, 404
1700177584984, 403
1700177586585, 400
1700177588348, 401
1700177589634, 414
1700177591507, 507
1700177674456, 435
1700177675925, 395
1700177677608, 409
1700177679156, 402
1700177680690, 394
1700177682101, 385
1700177683752, 392
1700177685661, 396
1700177687165, 380
1700177689068, 383
1700177690626, 400
1700177692030, 390
1700177693618, 403
1700177695240, 388
1700177697024, 396
1700177699248, 402
1700177700598, 405
1700177702384, 397
1700177703926, 390
1700177705956, 391
1700177707734, 406
1700177709239, 397
1700177711044, 403
1700177712829, 408
1700177714327, 408
1700177715715, 409
1700177717134, 397
1700177718666, 408
1700177720537, 411
1700177722451, 401
1700177723948, 410
1700177726345, 394
1700177727871, 404
1700177729844, 388
1700177731256, 400
1700177732903, 389
1700177734500, 401
1700177736424, 386
1700177737855, 400
1700177739476, 385
1700177741098, 389
1700177742872, 402
1700177744487, 401
1700177746077, 403
1700177747712, 386
1700177749606, 386
1700177751665, 394
1700177753273, 389
1700177755016, 396
1700177756655, 394
1700177758232, 402
1700177760984, 388
1700177762839, 392
1700177765067, 404
1700177767004, 400
1700177769175, 401
1700177771539, 389
1700177773355, 400
1700177775226, 396
1700177776858, 405
1700177778525, 406
1700177780440, 394
1700177782054, 393
1700177783387, 401
1700177784786, 394
1700177786559, 413
1700177788416, 397
1700177790049, 411
1700177791798, 397
1700177793377, 395
1700177795105, 410
1700177797171, 394
1700177798874, 399
1700177800708, 411
1700177802243, 403
1700177803882, 411
1700177805568, 403
1700177807370, 412
1700177811055, 400
1700177812571, 399
1700177814437, 402
1700177816300, 416
1700177818105, 401
1700177819636, 504
1700177865842, 473
1700177868333, 411
1700177869850, 416
1700177871309, 401
1700177873018, 398
1700177874650, 399
1700177876926, 411
1700177878459, 410
1700177880261, 412
1700177881950, 414
1700177883701, 413
1700177885544, 398
1700177887006, 405
1700177888794, 407
1700177890512, 415
1700177892131, 396
1700177893595, 410
1700177895962, 412
1700177897782, 403
1700177899198, 416
1700177900683, 408
1700177903219, 419
1700177905340, 411
1700177906883, 409
1700177908554, 418
1700177910119, 420
1700177911695, 420
1700177914566, 416
1700177916533, 421
1700177918444, 411
1700177920090, 423
1700177921869, 423
1700177923526, 407
1700177925421, 421
1700177928326, 425
1700177931498, 415
1700177935307, 425
1700177941145, 413
1700177944812, 421
1700177949812, 416
1700177952370, 430
1700177956295, 427
1700177960762, 427
1700177962325, 413
1700177964290, 413
1700177965988, 421
1700177967710, 413
1700177969342, 419
1700177971440, 425
1700177974023, 409
1700177976578, 409
1700177979282, 407
1700177982579, 414
1700177985360, 409
1700177989158, 407
1700177992865, 409
1700177995413, 423
1700177997314, 410
1700178001635, 419
1700178005117, 417
1700178007918, 426
1700178011290, 427
1700178016989, 426
1700178019161, 412
1700178022030, 418
1700178025274, 420
1700178028966, 403
1700178031879, 411
1700178036002, 409
1700178039630, 412
1700178044939, 411
1700178047523, 407
1700178050436, 415
1700178052845, 403
1700178055975, 411
1700178059143, 403
1700178060826, 514
1700178264071, 517
1700178265539, 528
1700178267072, 531
1700178268566, 530
1700178270155, 432
1700178271776, 427
1700178273315, 425
1700178274912, 429
1700178276338, 435
1700178322258, 490
1700178323974, 464
1700178325703, 441
1700178327353, 440
1700178329081, 440
1700178330830, 430
1700178332152, 442
1700178333833, 428
1700178335652, 434
1700178337914, 439
1700178369690, 585
1700178371516, 426
1700178373279, 411
1700178374968, 476
1700178431610, 455
1700178433323, 435
1700178434761, 434
1700178436441, 421
1700178437856, 435
1700178439398, 436
1700178441224, 426
1700178443079, 429
1700178444686, 424
1700178446052, 427
1700178447458, 427
1700178449028, 422
1700178450572, 426
1700178452383, 416
1700178454450, 417
1700178456890, 425
1700178458400, 426
1700178460080, 415
1700178461605, 428
1700178505543, 437
1700178507405, 429
1700178509199, 419
1700178510599, 424
1700178511989, 429
1700178514692, 510
1700178524758, 441
1700178526261, 411
1700178527938, 398
1700178529375, 357
1700178530836, 356
1700178532489, 351
1700178533815, 350
1700178535451, 331
1700178537117, 329
1700178538827, 343
1700178540618, 333
1700178542344, 334
1700178543788, 348
1700178546064, 351
1700178547458, 310
1700178548969, 294
1700178550703, 297
1700178552108, 290
1700178553596, 288
1700178555261, 269
1700178557107, 269
1700178558886, 270
1700178560544, 269
1700178562596, 257
1700178564416, 272
1700178566381, 273
1700178568331, 267
1700178569957, 280
1700178572007, 270
1700178573545, 285
1700178575214, 274
1700178577147, 288
1700178578980, 291
1700178580500, 282
1700178582178, 288
1700178584099, 290
1700178585634, 287
1700178587274, 289
1700178588905, 305
1700178590648, 304
1700178592250, 303
1700178593594, 300
1700178595240, 312
1700178596781, 314
1700178599710, 315
1700178601186, 320
1700178602732, 308
1700178604159, 308
1700178605696, 326
1700178607339, 313
1700178609072, 312
1700178610582, 314
1700178612169, 316
1700178613611, 298
1700178615373, 310
1700178617119, 301
1700178619118, 301
1700178620978, 301
1700178622756, 304
1700178624662, 313
1700178626311, 313
1700178628412, 314
1700178629777, 305
1700178631677, 312
1700178633471, 322
1700178635630, 316
1700178637296, 322
1700178638723, 315
1700178640568, 311
1700178642972, 318
1700178644671, 321
1700178646288, 325
1700178648053, 310
1700178650279, 298
1700178652216, 300
1700178654243, 291
1700178656329, 292
1700178658544, 291
1700178659898, 301
1700178661522, 294
1700178663201, 291
1700178665178, 257
1700178666954, 263
1700178668792, 273
1700178670373, 271
1700178672218, 263
1700178675106, 271
1700178676832, 270
1700178678404, 283
1700178680491, 269
1700178682289, 273
1700178683770, 286
1700178685500, 282
1700178687036, 279
1700178688571, 282
1700178690137, 295
1700178691865, 289
1700178694369, 272
1700178696465, 275
1700178697881, 266
1700178699307, 263
1700178700929, 273
1700178702595, 263
1700178704330, 252
1700178706200, 264
1700178707887, 264
1700178709456, 253
1700178711138, 250
1700178712652, 263
1700178714181, 258
1700178715943, 259
1700178717900, 253
1700178719593, 254
1700178721457, 258
1700178722970, 266
1700178950388, 475
1700178952558, 458
1700178954689, 437
1700178956471, 433
1700178959145, 438
1700178960884, 441
1700178962649, 429
1700178966158, 428
1700178967631, 433
1700178969141, 436
1700178971853, 428
1700178973532, 423
1700178974918, 427
1700178977875, 435
1700178979605, 440
1700178982387, 430
1700178983684, 424
1700178985267, 411
1700178987039, 425
1700178988474, 416
1700178990094, 415
1700178991786, 420
1700178993303, 414
1700178994860, 417
1700178996525, 413
1700178998127, 420
1700178999765, 413
1700179001296, 426
1700179002845, 425
1700179004383, 427
1700179006020, 427
1700179007662, 427
1700179009220, 426
1700179010893, 428
1700179012572, 422
1700179014156, 411
1700179015632, 413
1700179017407, 412
1700179019137, 424
1700179020689, 429
1700179022081, 420
1700179023456, 426
1700179024964, 411
1700179026706, 424
1700179028208, 424
1700179029676, 406
1700179031445, 420
1700179033348, 404
1700179035153, 403
1700179036939, 406
1700179038370, 403
1700179040235, 403
1700179042129, 409
1700179044017, 413
1700179045574, 403
1700179047217, 410
1700179049242, 413
1700179051067, 407
1700179052623, 402
1700179054009, 418
1700179056201, 410
1700179057733, 412
1700179059174, 411
1700179060895, 417
1700179062535, 410
1700179064081, 407
1700179066028, 420
1700179067672, 413
1700179069296, 411
1700179070871, 418
1700179073067, 416
1700179074629, 409
1700179076314, 413
1700179077795, 423
1700179079569, 422
1700179081593, 418
1700179083118, 426
1700179084772, 411
1700179086291, 413
1700179088034, 426
1700179089805, 425
1700179091519, 427
1700179093154, 428
1700179094948, 412
1700179096917, 426
1700179098612, 425
1700179100429, 418
1700179102455, 411
1700179104009, 423
1700179105762, 414
1700179107280, 403
1700179108735, 418
1700179110527, 401
1700179111848, 401
1700179114228, 412
1700179116637, 401
1700179118645, 405
1700179120864, 400
1700179122900, 414
1700179124738, 402
1700179126873, 403
1700179128931, 418
1700179130991, 403
1700179132803, 427
1700179135060, 497
1700179571763, 527
1700179573331, 479
1700179575197, 457
1700179577024, 463
1700179578760, 440
1700179580527, 445
1700179581920, 436
1700179583493, 443
1700179584902, 430
1700179586561, 439
1700179588012, 429
1700179589740, 429
1700179591240, 428
1700179593245, 425
1700179595493, 425
1700179597079, 413
1700179599056, 423
1700179601044, 415
1700179602880, 406
1700179604374, 393
1700179605911, 382
1700179607657, 382
1700179609172, 397
1700179611857, 378
1700179613921, 394
1700179616941, 383
1700179619521, 387
1700179623196, 376
1700179625597, 396
1700179627174, 395
1700179628798, 397
1700179630384, 391
1700179631921, 396
1700179633662, 400
1700179635022, 389
1700179636681, 392
1700179638301, 393
1700179639994, 403
1700179641530, 389
1700179643066, 396
1700179644641, 402
1700179646125, 400
1700179647755, 400
1700179649297, 398
1700179650733, 381
1700179652526, 382
1700179655370, 400
1700179657802, 393
1700179659744, 386
1700179661545, 383
1700179663160, 382
1700179664675, 391
1700179666333, 396
1700179668070, 400
1700179669487, 399
1700179670908, 387
1700179672454, 383
1700179674080, 394
