startTime,finishTime,GSR,Emotion
1699737615250,1699737759154,"[453, 442, 430, 414, 414, 410, 398, 390, 384, 380, 386, 386, 377, 386, 377, 380, 377, 372, 364, 362, 369, 359, 363, 367, 350, 366, 364, 365, 350, 354, 351, 351, 356, 352, 365, 366, 365, 351, 366, 365, 366, 355, 354, 350, 350, 365, 358, 363, 350, 349, 364, 346, 346, 346, 349, 363, 347, 347, 363, 351, 351, 348, 357, 346, 360, 360, 360, 352, 348, 360, 355, 345, 353, 340, 352, 345, 357, 353, 348, 351, 355, 354, 350, 359, 356]",Normal State
1699737761000,1699737908255,"[361, 356, 356, 366, 366, 358, 365, 365, 365, 373, 372, 373, 364, 365, 358, 362, 360, 356, 353, 347, 353, 347, 345, 347, 351, 345, 341, 331, 325, 314, 316, 320, 308, 316, 314, 311, 319, 313, 318, 311, 310, 307, 305, 305, 299, 301, 290, 296, 293, 300, 298, 292, 295, 287, 296, 298, 291, 293, 294, 304, 304, 307, 300, 310, 310, 310, 305, 306, 308, 309, 310, 321, 313, 314, 321, 326, 325, 329, 329, 322, 332, 330, 325, 327, 327]",Relaxing State
1699737910006,1699738081211,"[336, 329, 333, 332, 340, 342, 332, 342, 337, 345, 341, 347, 339, 340, 341, 352, 346, 351, 356, 347, 348, 352, 356, 350, 346, 333, 350, 347, 344, 352, 352, 346, 345, 356, 347, 359, 356, 361, 353, 356, 354, 365, 355, 364, 366, 358, 359, 367, 370, 364, 367, 370, 371, 355, 367, 374, 368, 374, 364, 367, 373, 373, 363, 366, 375, 370, 353, 360, 355, 341, 338, 345, 345, 349, 339, 346, 345, 332, 339, 329, 340, 329, 335, 324, 335]",Stress State
1699738082847,1699738243531,"[313, 320, 294, 290, 302, 291, 280, 281, 277, 266, 277, 269, 278, 267, 266, 267, 263, 273, 263, 261, 263, 263, 260, 270, 266, 259, 258, 263, 268, 263, 253, 261, 255, 266, 260, 270, 261, 271, 266, 267, 275, 268, 268, 270, 256, 251, 257, 264, 255, 266, 263, 264, 259, 251, 261, 262, 256, 262, 257, 268, 260, 264, 263, 269, 268, 279, 278, 281, 285, 283, 282, 288, 287, 283, 286, 283, 280, 276, 276, 283, 280, 278, 278, 280, 287]",Normal State
1699738245466,1699738425921,"[282, 283, 285, 285, 285, 282, 295, 281, 296, 288, 295, 297, 298, 293, 297, 299, 308, 306, 307, 314, 319, 316, 322, 317, 324, 325, 319, 320, 316, 318, 323, 332, 334, 318, 337, 337, 325, 338, 337, 333, 333, 344, 343, 339, 343, 341, 344, 337, 337, 346, 339, 346, 345, 343, 347, 349, 349, 343, 344, 343, 345, 342, 345, 341, 348, 346, 343, 334, 337, 335, 326, 332, 319, 314, 317, 317, 310, 317, 308]",Stress State
1699738427585,1699738574533,"[307, 315, 315, 306, 316, 316, 306, 305, 310, 311, 303, 303, 297, 296, 295, 301, 290, 290, 283, 294, 288, 291, 286, 283, 286, 281, 286, 277, 272, 275, 277, 277, 273, 276, 270, 276, 276, 268, 273, 275, 270, 265, 251, 252, 251, 245, 246, 251, 243, 244, 246, 249, 245, 252, 247, 251, 251, 250, 246, 252, 253, 253, 248, 247, 256, 251, 250, 250, 251, 260, 262, 252, 246, 250, 251, 250, 254, 247, 258, 251, 260, 252, 252, 253, 263]",Relaxing State
1699738977884,1699739160012,"[494, 486, 495, 487, 494, 491, 485, 485, 494, 487, 489, 486, 486, 486, 492, 493, 490, 490, 494, 485, 492, 485, 483, 486, 489, 493, 488, 493, 492, 485, 493, 487, 489, 491, 489, 491, 489, 489, 486, 485, 489, 486, 481, 490, 486, 485, 482, 482, 489, 483, 485, 483, 485, 487, 480, 489, 488, 480, 480, 481, 484, 483, 483, 491, 489, 488, 479, 482, 484, 477, 523, 523]",High Stress State
1699739163425,1699739345524,"[526, 519, 520, 520, 519, 516, 514, 516, 516, 514, 515, 506, 509, 505, 505, 506, 506, 507, 511, 508, 511, 507, 504, 510, 509, 509, 510, 510, 502, 508, 505, 496, 494, 494, 498, 502, 497, 493, 501, 500, 495, 502, 500, 501, 502, 497, 496, 496, 495, 496, 496, 494, 494, 495, 495, 494, 496, 497, 502, 503, 493, 502, 503, 495, 490, 496, 489, 498, 489, 490, 492, 489, 496, 483, 487, 482, 485]",Relaxing State
1699739348882,1699739530226,"[486, 478, 484, 483, 478, 474, 477, 479, 478, 481, 478, 481, 473, 482, 475, 474, 470, 467, 467, 460, 461, 460, 469, 463, 474, 469, 474, 473, 476, 470, 472, 465, 473, 466, 472, 457, 464, 466, 462, 469, 456, 443, 442, 446, 448, 455, 455, 462, 457, 463, 458, 467, 468, 461, 463, 464, 470, 466, 473, 466, 468, 468, 470, 463, 465, 466]",Hight Stress State 
1699739534669,1699739714732,"[472, 473, 467, 467, 473, 473, 470, 468, 471, 475, 469, 476, 476, 473, 467, 466, 458, 451, 443, 435, 444, 441, 445, 444, 440, 449, 449, 451, 449, 449, 452, 454, 451, 457, 453, 443, 439, 421, 422, 420, 421, 429, 430, 429, 433, 436, 433, 428, 437, 433, 440, 434, 442, 444, 437, 432, 442, 448, 442, 444, 449, 451, 444, 439, 428, 425, 429, 436, 429, 435, 434, 425, 420, 430, 426, 429, 436, 439, 433]",Relaxing State
1699739720495,1699739900754,"[439, 438, 424, 430, 433, 428, 435, 432, 434, 427, 428, 430, 433, 427, 435, 436, 437, 428, 409, 406, 413, 412, 419, 407, 408, 415, 409, 419, 420, 423, 423, 427, 429, 422, 416, 425, 426, 419, 428, 428, 426, 430, 431, 431, 435, 432, 405, 364, 377, 379, 390, 385, 393, 397, 395, 402, 402, 401, 408, 406, 406]",High Stress State
1699739903158,1699740085121,"[412, 415, 410, 417, 420, 421, 422, 417, 421, 426, 419, 419, 423, 421, 430, 429, 432, 432, 423, 423, 426, 424, 426, 417, 421, 413, 408, 404, 395, 397, 390, 399, 397, 397, 401, 411, 404, 412, 413, 413, 410, 409, 413, 407, 403, 407, 400, 401, 398, 397, 396, 397, 399, 402, 401, 406, 410, 406, 411, 410, 413, 410, 406, 388, 396, 393, 384, 391, 386, 386, 392, 384, 385, 390, 390, 393, 397, 385, 385, 386]",Relaxing State
1699740087258,1699740268594,"[390, 389, 365, 363, 364, 365, 370, 377, 380, 380, 383, 385, 396, 389, 396, 391, 377, 374, 374, 375, 377, 387, 391, 380, 387, 386, 388, 394, 397, 393, 400, 400, 395, 403, 398, 406, 400, 408, 406, 405, 401, 404, 408, 403, 410, 409, 413, 408, 405, 394, 382, 376, 375, 381, 382, 380, 384, 384, 387, 393, 397, 403, 402, 406, 406, 413, 412, 416, 412, 419, 419, 413, 421, 417, 415, 420, 418]",High Stress State
1699740270512,1699740451247,"[421, 418, 406, 394, 387, 386, 383, 382, 387, 393, 390, 397, 399, 401, 396, 399, 400, 399, 379, 364, 360, 357, 353, 357, 363, 361, 360, 362, 361, 368, 370, 369, 351, 357, 360, 355, 361, 368, 370, 371, 366, 366, 373, 377, 374, 380, 384, 376, 379, 381, 389, 390, 385, 387, 391, 391, 390, 392, 400, 401, 403, 399, 398, 405, 401, 408, 404, 403, 410]",High Stress State
1699740454752,1699740635042,"[406, 407, 411, 410, 409, 401, 402, 409, 406, 406, 414, 416, 413, 410, 420, 415, 412, 400, 394, 395, 401, 395, 393, 376, 373, 363, 365, 370, 370, 368, 377, 373, 377, 384, 382, 382, 390, 392, 394, 389, 396, 395, 390, 395, 391, 389, 396, 388, 390, 396, 390, 395, 397, 393, 395, 403, 404, 403, 406, 400, 407, 408, 403, 411, 410, 403, 404, 409, 404, 405, 398, 406, 406, 400, 404, 397, 378, 366, 371]",High Stress State
